id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
2544,Vibes @ East Coast,308 Telok Kurau Road,1.309482763,103.9117201,0,2,3,0,5,2,0,600000,377,1,1,Apartment,2015,Freehold,2.952816113,4.13,FRANKEL
2545,226 Lorong 8 Toa Payoh,226 Lorong 8 Toa Payoh,1.339515666,103.857051,0,3,2,0,5,0,0,390000,883,3,1,HDB Flat,1975,99-year Leasehold,0,0, 
2546,Double Bay Residences,21C Simei Street 4,1.339724487,103.9565529,1,0,0,0,5,3,0,3550000,3705,5,5,Condominium,2012,99-year Leasehold,2.299995343,2.88,SIMEI
2547,Avenue South Residence,1 Silat Avenue,1.276390119,103.8302713,0,1,3,0,4,0,0,1380000,657,2,1,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
2548,315A Punggol Way,315A Punggol Way,1.408316774,103.897053,0,0,3,0,5,0,1,550000,1000,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2549,The Hillier,2 Hillview Rise,1.363932031,103.7645836,1,0,2,0,4,1,2,860000,624,1,1,Condominium,2016,99-year Leasehold,2.80006716,3.64,HILLVIEW
2550,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1300000,936,3,2,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2551,Leedon Green,32 Leedon Heights,1.311941235,103.8032613,1,1,0,0,3,0,0,2353000,958,3,2,Condominium,0,Freehold,1.759999868,0,FARRER COURT
2552,217A Sumang Walk,217A Sumang Walk,1.402985918,103.8950208,0,0,3,0,5,0,0,520000,990,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2553,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,890000,527,1,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2554,The Poiz Residences,12 Meyappa Chettiar Road,1.33154468,103.8669965,1,0,2,0,5,0,1,780000,420,1,1,Apartment,2018,99-year Leasehold,3.500006192,4.53,POTONG PASIR
2555,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1012000,657,2,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2556,Pasir Ris 8,Pasir Ris Drive 3,1.375139282,103.9534842,1,1,3,0,5,2,1,1495000,936,3,2,Condominium,0,99-year Leasehold,2.5,0,PASIR RIS CENTRAL
2557,107B Edgefield Plains,107B Edgefield Plains,1.396837235,103.9072482,0,1,4,0,5,0,2,465000,1184,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
2558,Pasir Ris 8,Pasir Ris Drive 3,1.375139282,103.9534842,1,1,3,0,5,2,1,890000,624,2,1,Condominium,0,99-year Leasehold,2.5,0,PASIR RIS CENTRAL
2559,Waterfront Gold,752 Bedok Reservoir Road,1.338538185,103.9288039,1,1,3,0,4,1,0,1350000,1012,3,2,Condominium,2014,99-year Leasehold,2.7472375,2.98,BEDOK RESERVOIR
2560,South Beach Residences,28 South Beach Road,1.294385184,103.8560298,5,0,4,0,5,2,5,4360000,1744,3,4,Condominium,2016,99-year Leasehold,4.199977116,0,CITY HALL
2561,The Hillier,2 Hillview Rise,1.363932031,103.7645836,1,0,2,0,4,1,2,700000,506,1,1,Condominium,2016,99-year Leasehold,2.80006716,3.64,HILLVIEW
2562,Parc Clematis,2 Jalan Lempeng,1.317106451,103.7589473,0,0,0,0,4,4,0,1427000,861,3,2,Apartment,0,99-year Leasehold,2.31,0,FABER
2563,Urban Treasures,205 Jalan Eunos,1.329367202,103.9057913,1,0,1,0,5,0,0,2324000,1270,4,3,Condominium,0,Freehold,1.759837771,0,KAKI BUKIT
2564,Robin Suites,25 Robin Road,1.317691725,103.8287695,1,0,1,0,5,1,0,1118000,463,1,1,Apartment,2016,Freehold,2.1,5.3,NASSIM
2565,183 Longhaus,183 Upper Thomson Road,1.350960636,103.8355035,1,1,2,0,5,5,1,995000,538,2,1,Condominium,2020,Freehold,2.830997715,4,UPPER THOMSON
2566,Vacanza @ East,36 Lengkong Tujoh,1.329019845,103.9141962,0,0,1,0,2,3,0,2188000,1916,4,4,Condominium,2014,Freehold,2.1,2.73,KEMBANGAN
2567,Concourse Skyline,302 Beach Road,1.300266899,103.8618656,3,2,4,0,5,2,4,2880000,1356,2,2,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
2568,Kingsford Hillview Peak,105 Hillview Rise,1.364843897,103.7637276,1,0,2,0,2,0,1,750000,527,1,1,Condominium,2016,99-year Leasehold,2.800015812,3.42,HILLVIEW
2569,Seastrand,17 Pasir Ris Link,1.376176256,103.9604884,0,0,1,0,5,0,1,1300000,1195,3,3,Condominium,2014,99-year Leasehold,2.1,2.72,PASIR RIS PARK
2570,Riversails,8 Upper Serangoon Crescent,1.378359029,103.9029043,0,0,1,0,5,0,0,2450000,2314,3,4,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
2571,The Callista,28 Mar Thoma Road,1.327912172,103.8631876,0,0,0,0,4,1,0,1400000,1130,3,2,Apartment,2006,999-year Leasehold,2.8,0,BENDEMEER
2572,Residence Twenty-Two,246 Telok Kurau Road,1.31101225,103.9110422,0,2,3,0,5,2,0,2145000,1195,3,3,Condominium,0,Freehold,1.497576899,0,FRANKEL
2573,Residence Twenty-Two,246 Telok Kurau Road,1.31101225,103.9110422,0,2,3,0,5,2,0,898000,495,1,1,Condominium,0,Freehold,1.497576899,0,FRANKEL
2574,Trilive,113 Tampines Road,1.36175111,103.8914468,1,1,3,0,5,0,1,938888,614,2,2,Condominium,2018,Freehold,2.1,3.31,LORONG AH SOO
2575,160 Mei Ling Street,160 Mei Ling Street,1.292096907,103.8042298,1,1,1,0,5,0,1,470000,775,2,2,HDB Flat,1970,99-year Leasehold,0,0, 
2576,686A Choa Chu Kang Crescent,686A Choa Chu Kang Crescent,1.404389567,103.7478564,1,0,0,0,5,0,1,498000,1184,3,2,HDB Flat,2000,99-year Leasehold,0,0, 
2577,The Topiary,25 Fernvale Lane,1.388474745,103.8717686,0,0,3,0,5,2,2,1280000,1055,3,2,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
2578,430 Tampines Street 41,430 Tampines Street 41,1.359552581,103.9501482,1,0,3,0,5,1,1,668888,1604,3,2,HDB Flat,1985,99-year Leasehold,0,0, 
2579,678A Punggol Drive,678A Punggol Drive,1.405662132,103.908719,0,0,5,0,5,1,1,490000,1001,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2580,Signature Park,54 Toh Tuck Road,1.341594078,103.7693648,1,1,2,0,4,4,0,1520000,1055,2,2,Condominium,1998,Freehold,1.7,2.11,ANAK BUKIT
2581,90 Tanglin Halt Road,90 Tanglin Halt Road,1.300517009,103.7989763,1,2,1,0,5,0,0,840000,968,3,2,HDB Flat,2007,99-year Leasehold,0,0, 
2582,jalan haji alias,Jalan Haji Alias,1.323023402,103.7951862,0,0,0,0,0,2,0,10500000,4500,5,5,Semi-Detached House,0,Freehold,0,0, 
2583,Parc Riviera,103 West Coast Vale,1.320614301,103.7532909,0,0,0,0,1,0,0,1440000,990,3,3,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
2584,155 Rivervale Crescent,155 Rivervale Crescent,1.390698662,103.9072088,0,1,2,0,5,1,1,525000,1184,3,2,HDB Flat,2005,99-year Leasehold,0,0, 
2585,338B Anchorvale Crescent,338B Anchorvale Crescent,1.399535088,103.8897851,0,0,2,0,5,1,0,650000,1345,4,3,HDB Flat,2017,99-year Leasehold,0,0, 
2586,The Topiary,25 Fernvale Lane,1.388474745,103.8717686,0,0,3,0,5,2,2,1580000,1292,4,4,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
2587,VA Residences,9 Boon Teck Road,1.326726664,103.8496801,0,2,4,0,5,1,2,788000,506,1,1,Condominium,2016,Freehold,3.074536063,3.72,BALESTIER
2588,Twin Waterfalls,106 Punggol Walk,1.401756654,103.8968803,0,0,4,0,5,0,0,1388000,1335,3,3,Executive Condominium,2015,99-year Leasehold,3,0,MATILDA
2589,The Wisteria,596 Yishun Ring Road,1.417949712,103.8415114,0,0,5,0,5,0,1,725000,549,2,1,Condominium,2018,99-year Leasehold,2.8,3.34,YISHUN SOUTH
2590,Ripple Bay,16 Pasir Ris Link,1.378617446,103.9616654,0,0,1,0,5,0,0,1200000,1066,3,2,Condominium,2016,99-year Leasehold,2.100034005,2.75,PASIR RIS PARK
2591,Parc Vista,450 Corporation Road,1.344627556,103.7183814,1,2,1,0,5,0,0,1250000,1259,3,3,Condominium,2000,99-year Leasehold,2.8,2.28,HONG KAH
2592,The Greenwich,9 Seletar Road,1.387260599,103.870186,0,0,1,0,4,5,1,758888,624,1,1,Condominium,2013,99-year Leasehold,1.4,2.93,SELETAR HILLS
2593,CHANGI RISE CONDOMINIUM,4 Simei Rise,1.347056378,103.9595877,1,0,0,0,0,3,0,1200000,1259,3,3,Condominium,2004,99-year Leasehold,1.6,2.3,SIMEI
2594,133 Simei Street 1,133 Simei Street 1,1.347313666,103.9556785,1,0,3,0,5,1,1,688000,1313,3,2,HDB Flat,1987,99-year Leasehold,0,0, 
2595,402 Sin Ming Avenue,402 Sin Ming Avenue,1.362768866,103.8327589,0,0,1,0,5,2,0,830000,1291,3,2,HDB Flat,1985,99-year Leasehold,0,0, 
2596,116 Lorong 2 Toa Payoh,116 Lorong 2 Toa Payoh,1.340472872,103.8461425,1,2,1,0,5,0,0,338000,678,2,2,HDB Flat,1969,99-year Leasehold,0,0, 
2597,Kingsford Waterbay,72 Upper Serangoon View,1.374375251,103.9034852,0,0,1,0,1,0,0,950000,689,2,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
2598,The Bayshore,34 Bayshore Road,1.31261384,103.939334,0,0,1,0,5,0,0,1299000,979,2,2,Condominium,1999,99-year Leasehold,3.0000122,2.49,BAYSHORE
2599,Balestier Point,279 Balestier Road,1.322704469,103.8519711,0,2,3,0,5,0,0,1888888,1636,3,2,Apartment,1988,Freehold,3,0,BALESTIER
2600,Ritz Regency,8 Ipoh Lane,1.31136807,103.8947668,3,4,5,0,5,2,4,1730000,1194,3,3,Apartment,2010,Freehold,2.8,0,GEYLANG EAST
2601,The Panorama,20 Ang Mo Kio Ave 2,1.375500432,103.8344222,0,2,2,0,5,5,0,1200000,797,2,2,Condominium,2019,99-year Leasehold,3.500016232,3.57,KEBUN BAHRU
2602,1953,1 Tessensohn Road,1.316477524,103.8577508,3,1,4,0,5,2,3,1145000,614,2,1,Apartment,0,Freehold,3.239726356,0,LAVENDER
2603,??????Luxurious & Spacious ??????Terrace House??????,Inggu Road,1.460602615,103.8393543,0,0,0,0,0,3,0,2240000,4500,5,5,Terraced House,2012,99-year Leasehold,0,0, 
2604,Normanton Park,47 Normanton Park,1.28646429,103.7931825,0,0,0,0,3,0,0,1880000,1098,3,2,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2605,Faber Crest,50A Faber Heights,1.323570722,103.7566656,0,0,0,0,2,2,0,1050000,1012,2,3,Condominium,2002,99-year Leasehold,1.400005401,2.4,FABER
2606,DUO Residences,1 Fraser Street,1.29916296,103.8578595,5,2,4,0,4,2,5,1388888,530,1,1,Apartment,2017,99-year Leasehold,6.228545555,5.5,BUGIS
2607,6 1 LiveTour,Bukit Timah,1.340489176,103.7716841,1,1,3,0,5,4,2,7600000,3531,4,5,Semi-Detached House,0,Freehold,0,0, 
2608,Hyll on Holland,89 Holland Road,1.310340808,103.8028913,0,2,0,0,3,0,0,1482000,570,2,1,Condominium,0,Freehold,1.935864042,0,LEEDON PARK
2609,Hyll on Holland,93 Holland Road,1.310259641,103.8023758,0,2,0,0,3,0,0,2336000,936,3,2,Condominium,0,Freehold,1.935864042,0,LEEDON PARK
2610,Concourse Skyline,298 Beach Road,1.300266899,103.8618656,3,2,4,0,5,2,4,2980000,1378,3,2,Condominium,2014,99-year Leasehold,0,4.4,NICOLL
2611,1953,1 Tessensohn Road,1.316477524,103.8577508,3,1,4,0,5,2,3,867000,441,1,1,Apartment,0,Freehold,3.239726356,0,LAVENDER
2612,Symphony Suites,3 Yishun Close,1.434768994,103.844173,0,0,4,0,5,0,1,1040000,893,3,3,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
2613,Provence Residence,23 Canberra Crescent,1.447784713,103.8274513,2,0,3,0,5,1,2,1320000,1249,3,2,Executive Condominium,0,99-year Leasehold,2.484,0,SEMBAWANG EAST
2614,The Criterion,3 Yishun Street 51,1.418434814,103.8455814,0,0,2,0,5,0,1,1150000,1173,4,3,Executive Condominium,0,99-year Leasehold,2.8,0,LOWER SELETAR
2615,Boathouse Residences,23 Upper Serangoon View,1.37601171,103.9024274,0,0,1,0,5,0,0,799000,732,2,1,Condominium,2015,99-year Leasehold,3.5,2.73,KANGKAR
2616,Mon Jervois,45 Jervois Road,1.293990199,103.8219312,0,0,2,0,4,0,0,2050000,893,2,2,Condominium,2016,99-year Leasehold,1.400089306,3.8,CHATSWORTH
2617,D'Leedon,5 Leedon Heights,1.314888998,103.8034153,1,1,0,0,2,1,0,2850000,1744,4,4,Condominium,2014,99-year Leasehold,2.905397956,4,FARRER COURT
2618,665C Punggol Drive,665C Punggol Drive,1.401491646,103.9144591,0,0,5,0,5,1,1,430000,721,2,2,HDB Flat,2015,99-year Leasehold,0,0, 
2619,310C Punggol Walk,310C Punggol Walk,1.409710961,103.8998984,0,0,2,0,5,1,1,650000,1206,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2620,Palms @ Sixth Avenue,251 Sixth Avenue singapore,1.323866976,103.7926854,0,0,0,0,1,2,0,5688888,4951,4,5,Cluster House,0,Freehold,0,0, 
2621,The Hillford,180 Jalan Jurong Kechil,1.343881324,103.7698368,1,1,2,0,5,3,1,520000,398,1,1,Condominium,2017,,1.399988202,4.39,ANAK BUKIT
2622,Avila Gardens,15 Flora Road,1.361432207,103.9668481,0,0,0,0,0,3,0,1250000,1303,3,2,Condominium,1995,Freehold,1.4,1.9,FLORA DRIVE
2623,Terrasse,35 Terrasse Lane,1.368448341,103.8770661,0,0,1,0,5,2,0,980000,850,2,2,Condominium,2015,99-year Leasehold,1.400009935,2.91,KOVAN
2624,Semi-Detached House @ Cactus Crescent,Seletar Garden,1.389375327,103.8509262,0,0,0,0,2,1,0,5280000,3500,5,3,Semi-Detached House,0,Freehold,0,0, 
2625,Ventura Heights,69 Jalan Lim Tai See,1.321368764,103.791605,0,0,0,0,0,2,0,4280000,4661,3,4,Cluster House,2011,Freehold,0,0, 
2626,296B Bukit Batok Street 22,296B Bukit Batok Street 22,1.343693814,103.7473568,1,1,5,0,5,0,1,430000,731,2,2,HDB Flat,2017,99-year Leasehold,0,0, 
2627,Casero @ Dunman,489 Dunman Road,1.309713795,103.8938137,1,4,5,0,5,2,3,2290000,2518,3,2,Apartment,2008,Freehold,1.4,0,GEYLANG EAST
2628,Parc Oasis,39 Jurong East Avenue 1,1.343144348,103.7340889,1,3,2,0,5,0,0,1200000,1227,3,3,Condominium,1995,99-year Leasehold,2,2.32,YUHUA WEST
2629,THE VENUE RESIDENCES,6 Tai Thong Crescent,1.32884034,103.8690446,1,0,1,0,5,2,1,1299000,840,2,2,Apartment,2017,99-year Leasehold,3.500115849,3.76,SENNETT
2630,The Lakefront Residences,42 Lakeside Drive,1.3433524,103.7193036,1,1,1,0,5,1,0,1500000,1216,3,3,Condominium,2014,99-year Leasehold,3.500049636,3.72,TAMAN JURONG
2631,Esparina Residences,115 Compassvale Bow,1.381604627,103.8917124,1,0,4,0,5,0,1,1700000,1678,3,2,Executive Condominium,2014,99-year Leasehold,3,0,COMPASSVALE
2632,406C Fernvale Road,406C Fernvale Road,1.388679048,103.8747026,0,0,4,0,5,3,2,488000,1184,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
2633,Merryn Road,Merryn Road,1.327524838,103.8220722,0,0,0,0,0,0,0,11800000,7778,5,6,Bungalow House,0,Freehold,0,0, 
2634,Leedon Green,26 Leedon Heights,1.313566141,103.803218,1,1,0,0,2,0,0,1752800,710,2,2,Condominium,0,Freehold,1.759999868,0,FARRER COURT
2635,277B Compassvale Link,277B Compassvale Link,1.382336659,103.8945108,1,0,3,0,5,0,0,638000,990,3,2,HDB Flat,2007,99-year Leasehold,0,0, 
2636,Avenue South Residence,11 Silat Avenue,1.276629534,103.8291052,0,0,3,0,5,0,0,2043000,947,3,2,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
2637,Avenue South Residence,11 Silat Avenue,1.276629534,103.8291052,0,0,3,0,5,0,0,1458000,657,2,1,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
2638,Commonwealth Towers,232 Commonwealth Avenue,1.295463429,103.8065158,1,1,2,0,5,0,0,908000,463,1,1,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
2639,86 Dawson Road,86 Dawson Road,1.295649031,103.8102305,1,0,2,0,5,0,0,880000,893,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2640,Regent Residences,1091 Serangoon Road,1.324233409,103.864556,1,1,2,0,5,1,0,1100000,689,2,1,Condominium,2016,Freehold,3.079999446,3.27,BENDEMEER
2641,310C Punggol Walk,310C Punggol Walk,1.409710961,103.8998984,0,0,2,0,5,1,1,690000,1205,2,2,HDB Flat,2015,99-year Leasehold,0,0, 
2642,RAFFLESIA CONDOMINIUM,31 Bishan Street 21,1.347992608,103.8433152,3,0,3,0,5,5,1,1680000,1195,3,3,Condominium,2002,99-year Leasehold,2.099999921,2.8,MARYMOUNT
2643,21 Teban Gardens Road,21 Teban Gardens Road,1.323680649,103.7391562,0,1,2,0,5,0,0,530000,936,3,2,HDB Flat,2012,99-year Leasehold,0,0, 
2644,The Garden Residences,7 Serangoon North View,1.365811714,103.8701317,0,2,1,0,1,2,1,1819900,1119,4,3,Condominium,0,99-year Leasehold,2.500014544,0,SERANGOON GARDEN
2645,Heron Bay,59 Upper Serangoon View,1.3766974,103.9034138,0,0,1,0,5,0,0,1300000,1281,4,2,Executive Condominium,0,99-year Leasehold,3.5,0,KANGKAR
2646,Gambir Ridge,16 Gambir Walk,1.34439428,103.8754238,0,0,0,0,4,0,0,2280000,1443,5,3,Condominium,2015,Freehold,1.4,2.9,UPPER PAYA LEBAR
2647,RiverBay,23 Mar Thoma Road,1.327987321,103.8625405,0,0,0,0,5,1,0,610000,388,1,1,Condominium,2014,999-year Leasehold,2.8,3.68,BENDEMEER
2648,50 Strathmore Avenue,50 Strathmore Avenue,1.293845338,103.8087279,1,1,2,0,5,0,0,650000,914,3,2,HDB Flat,2004,99-year Leasehold,0,0, 
2649,High Park Residences,31 Fernvale Road,1.395337069,103.8744603,0,0,4,0,5,2,1,780000,581,2,1,Condominium,2019,99-year Leasehold,3.000017228,3.66,FERNVALE
2650,Sant Ritz,1 Pheng Geck Avenue,1.329644103,103.8692331,1,0,1,0,5,1,1,1750000,1399,3,2,Condominium,2016,99-year Leasehold,3.500051541,3.89,SENNETT
2651,The Topiary,13 Fernvale Lane,1.388815679,103.8723919,0,0,4,0,5,2,2,1130000,1087,3,3,Executive Condominium,2016,99-year Leasehold,3.5,0,FERNVALE
2652,231 Bishan Street 23,231 Bishan Street 23,1.357291229,103.8458457,2,0,2,0,5,0,0,998998,1657,4,3,HDB Flat,1990,99-year Leasehold,0,0, 
2653,320 Hougang Avenue 5,320 Hougang Avenue 5,1.366269896,103.8980294,1,0,2,0,4,1,1,545000,1367,3,2,HDB Flat,1982,99-year Leasehold,0,0, 
2654,805B Keat Hong Close,805B Keat Hong Close,1.372747704,103.7431574,0,0,1,0,4,0,0,499000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2655,Waterfront Gold,756 Bedok Reservoir Road,1.337992336,103.928895,1,1,3,0,5,1,0,1068000,893,2,2,Condominium,2014,99-year Leasehold,2.7472375,2.98,BEDOK RESERVOIR
2656,20 1 1 LiveTour,25A Tavistock Avenue,1.369063999,103.8625624,0,2,1,0,2,1,1,5380000,5692,4,4,Semi-Detached House,0,999-year Leasehold,0,0, 
2657,98 Joo Chiat Walk,98 Joo Chiat Walk,1.315393405,103.9134368,1,0,1,0,5,1,0,4600000,5645,5,5,Terraced House,0,Freehold,0,0, 
2658,Waterfront @ Faber,20 Faber Drive,1.318744944,103.7589918,0,0,0,0,5,4,0,2700000,2949,5,5,Terraced House,2018,99-year Leasehold,1.40002909,2.89,FABER
2659,Kingsford Waterbay,80 Upper Serangoon View,1.375781567,103.9041961,0,0,1,0,3,0,0,1100000,850,3,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
2660,The Gale,62 Flora Road,1.359069938,103.9665913,0,0,0,0,0,3,0,1180000,1012,2,2,Condominium,2014,Freehold,1.4,2.24,FLORA DRIVE
2661,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,927000,527,1,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2662,The Clement Canopy,18 Clementi Avenue 1,1.306676248,103.7685369,0,0,4,0,5,2,1,1150000,635,2,1,Condominium,2019,99-year Leasehold,3.50005369,4.36,CLEMENTI WOODS
2663,461 Choa Chu Kang Avenue 4,461 Choa Chu Kang Avenue 4,1.378177638,103.7345505,0,0,2,0,5,0,1,548000,1323,3,2,HDB Flat,1998,99-year Leasehold,0,0, 
2664,Kingsford Waterbay,Upper Serangoon View,1.377433378,103.9037136,0,0,1,0,5,0,0,1230000,850,3,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
2665,265 Bishan Street 24,265 Bishan Street 24,1.35831238,103.8420882,0,0,2,0,5,1,0,550000,107,3,2,HDB Flat,1991,99-year Leasehold,0,0, 
2666,118D Jalan Membina,118D Jalan Membina,1.282681051,103.8265834,1,3,5,0,5,2,1,848000,980,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
2667,Symphony Suites,13 Yishun Close,1.435377262,103.8441656,0,0,4,0,5,0,1,1299999,1023,4,3,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
2668,Queens Peak,1 Dundee Road,1.294746118,103.8068303,1,1,2,0,5,0,1,1860000,850,3,2,Condominium,0,99-year Leasehold,4.9,4.85,MARGARET DRIVE
2669,Sloane Residences,17 Balmoral Road,1.315688872,103.8323179,0,0,1,0,2,0,0,3468400,1249,3,3,Condominium,0,Freehold,1.759979436,0,NASSIM
2670,My Manhattan,35 Simei Street 3,1.341740411,103.9534146,1,0,2,0,5,3,1,820000,560,1,1,Condominium,2014,99-year Leasehold,2.30000848,3.33,SIMEI
2671,Serangoon Garden Estate,77 Farleigh Avenue,1.366356105,103.8629819,0,2,1,0,2,3,1,6300000,5200,4,4,Detached House,0,Unknown Tenure,0,0, 
2672,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1100000,635,2,2,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
2673,Parc Riviera,101 West Coast Vale,1.320817692,103.7526673,0,0,0,0,1,0,0,1550000,1152,4,3,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
2674,Wilshire Residences,30 Farrer Road,1.313061613,103.8046476,1,1,0,0,4,1,0,3362000,1270,4,4,Condominium,0,Freehold,1.807848046,0,TYERSALL
2675,677D Punggol Drive,677D Punggol Drive,1.405880448,103.9101587,0,0,5,0,5,1,1,700000,1216,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
2676,217C Sumang Walk,217C Sumang Walk,1.40235851,103.8954941,0,0,2,0,5,0,0,615000,1205,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
2677,Maple Woods,985 Bukit Timah Road,1.334469655,103.785591,1,0,2,0,5,1,0,2680000,1485,3,2,Condominium,1997,Freehold,2.07,2.77,HOLLAND ROAD
2678,Double Bay Residences,19C Simei Street 4,1.340529181,103.956777,2,0,1,0,4,3,1,1700000,1367,3,2,Condominium,2012,99-year Leasehold,2.299995343,2.88,SIMEI
2679,259C Punggol Field,259C Punggol Field,1.404534086,103.8956655,0,0,3,0,5,0,0,588000,1216,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
2680,75 Telok Blangah Drive,75 Telok Blangah Drive,1.274896709,103.8086953,1,2,1,0,5,1,0,430000,721,2,2,HDB Flat,1977,99-year Leasehold,0,0, 
2681,Thomson Impressions,1 Lorong Puntong,1.359825074,103.8297089,0,0,0,0,5,4,0,1288000,732,2,2,Condominium,2019,99-year Leasehold,2.100011426,4,UPPER THOMSON
2682,Cardiff Residence,103 Cardiff Grove,1.354962466,103.865798,1,0,1,0,5,5,0,1350000,1282,2,2,Condominium,2015,99-year Leasehold,1.517466981,3.95,SERANGOON GARDEN
2683,Lilac Drive,Lilac Park,1.3822233,103.8622562,0,0,0,0,1,5,0,3000000,2200,4,3,Terraced House,1991,Freehold,0,0, 
2684,Park Villas,33 Park Villas Rise,1.368152499,103.8774114,0,0,1,0,5,2,0,2495000,3649,5,5,Corner Terrace,1998,99-year Leasehold,0,0, 
2685,Trilive,113 Tampines Road,1.36175111,103.8914468,1,1,3,0,5,0,1,1500000,904,3,2,Condominium,2018,Freehold,2.1,3.31,LORONG AH SOO
2686,The Poiz Residences,12 Meyappa Chettiar Road,1.33154468,103.8669965,1,0,2,0,5,0,1,883000,592,1,1,Condominium,2018,99-year Leasehold,3.500006192,4.53,POTONG PASIR
2687,Jalan Kayu Estate Semi-D,Jalan Kayu,1.397895077,103.8733512,0,0,2,0,5,2,0,4480000,3100,5,4,Semi-Detached House,0,999-year Leasehold,0,0, 
2688,Imperial Heights,16 Ipoh Lane,1.311455375,103.8951696,3,4,5,0,5,3,3,700000,452,1,1,Apartment,2009,Freehold,2.8,3.72,GEYLANG EAST
2689,Stirling Residences,23 Stirling Road,1.291614775,103.8050527,1,1,3,0,4,0,1,3348000,1970,4,4,Apartment,0,99-year Leasehold,4.200004737,0,MEI CHIN
2690,Robin Residences,Robin Residences,1.318982708,103.8281368,1,0,1,0,4,1,0,1756000,710,2,2,Condominium,2016,Freehold,1.4,4.74,NASSIM
2691,The Crest,105 Prince Charles Crescent,1.292819209,103.8192931,1,1,0,0,4,0,0,1650000,797,2,2,Condominium,2017,99-year Leasehold,2.100027748,4.31,ALEXANDRA NORTH
2692,East Village,430 Upper Changi Road,1.331775815,103.9462012,1,0,2,0,5,4,1,699000,506,1,1,Condominium,2014,Freehold,1.4,3.57,BEDOK NORTH
2693,Cheng Soon Garden,Cheng Soon Garden,1.336381879,103.7734809,1,1,2,0,5,3,0,10000000,4081,3,4,Semi-Detached House,0,Freehold,0,0, 
2694,The Greenwich,5 Seletar Road,1.38715929,103.8698329,0,0,1,0,4,5,1,750000,603,1,1,Condominium,2013,99-year Leasehold,1.4,2.93,SELETAR HILLS
2695,906 Jurong West Street 91,906 Jurong West Street 91,1.341220505,103.6852284,0,0,1,0,5,0,0,700000,1528,4,2,HDB Flat,1988,99-year Leasehold,0,0, 
2696,Ricchezza,94 Telok Kurau Lorong M,1.311281861,103.9153086,0,0,1,0,5,4,0,1250000,883,2,2,Condominium,2011,Freehold,1.4,0,FRANKEL
2697,Tyrwhitt 139,139 Tyrwhitt Road,1.311577219,103.8599411,4,2,5,0,5,4,4,950000,732,2,1,Apartment,2008,Freehold,3,4.18,LAVENDER
2698,Forestville,48 Woodlands Drive 16,1.431947901,103.7987058,0,0,2,0,5,0,1,1350000,1292,3,3,Executive Condominium,2016,99-year Leasehold,2.8,0,WOODLANDS SOUTH
